filename,code,panel_type,is_horizontal,axis_range,floor,fill_color,center_x,center_y,top_y,min_x,max_x,min_y,max_y,width,height,path_d
Zone01,Zone01_GFRC_V28,Vertical,False,9-8,2nd FLOOR,#98FB98,1317.4836,1425.9468499999998,1304.3772,1276.5404,1358.4268,1304.3772,1547.5165,81.88639999999987,243.13930000000005,"M1276.5404,1304.3772 L1358.4268,1304.3772 L1358.4268,1547.5165 L1276.5404,1547.5165 z"
Zone01,Zone01_GFRC_V29,Vertical,False,9-8,2nd FLOOR,#98FB98,1153.4591500000001,1425.9468499999998,1304.3772,1113.2719,1193.6464,1304.3772,1547.5165,80.37450000000013,243.13930000000005,"M1113.2719,1304.3772 L1193.6464,1304.3772 L1193.6464,1547.5165 L1113.2719,1547.5165 z"
Zone01,Zone01_GFRC_V30,Vertical,False,10-9,2nd FLOOR,#98FB98,1071.06885,1425.9468499999998,1304.3772,1030.1257,1112.012,1304.3772,1547.5165,81.88629999999989,243.13930000000005,"M1112.012,1547.5165 L1030.1257,1547.5165 L1030.1257,1304.3772 L1112.012,1304.3772 z"
Zone01,Zone01_GFRC_V31,Vertical,False,8-7,2nd FLOOR,#98FB98,1807.2897,1425.9468499999998,1304.3772,1766.3466,1848.2328,1304.3772,1547.5165,81.88619999999992,243.13930000000005,"M1848.2328,1304.3772 L1766.3466,1304.3772 L1766.3466,1547.5165 L1848.2328,1547.5165 z"
Zone01,Zone01_GFRC_V32,Vertical,False,8-7,2nd FLOOR,#98FB98,1971.31435,1425.9468499999998,1304.3772,1931.1271,2011.5016,1304.3772,1547.5165,80.37450000000013,243.13930000000005,"M2011.5016,1304.3772 L1931.1271,1304.3772 L1931.1271,1547.5165 L2011.5016,1547.5165 z"
Zone01,Zone01_GFRC_H33,Horizontal,True,7-8,1nd FLOOR,#87CEEB,2392.5879,1589.7195000000002,1548.7764,2299.9934,2485.1824,1548.7764,1630.6626,185.1890000000003,81.88620000000014,"M2485.1824,1548.7764 L2299.9934,1548.7764 L2299.9934,1630.6626 L2485.1824,1630.6626 z"
Zone01,Zone01_GFRC_H34,Horizontal,True,10-9,1nd FLOOR,#87CEEB,732.18553,1589.7195000000002,1548.7764,639.59106,824.78,1548.7764,1630.6626,185.18894,81.88620000000014,"M639.59106,1548.7764 L824.78,1548.7764 L824.78,1630.6626 L639.59106,1630.6626 z"
Zone01,Zone01_GFRC_H35,Horizontal,True,10-9,1nd FLOOR,#87CEEB,948.2394300000001,1589.7195000000002,1548.7764,826.03986,1070.439,1548.7764,1630.6626,244.3991400000001,81.88620000000014,"M1070.439,1548.7764 L826.03986,1548.7764 L826.03986,1630.6626 L1070.439,1630.6626 z"
Zone01,Zone01_GFRC_H36,Horizontal,True,9-8,1nd FLOOR,#87CEEB,1193.8982999999998,1589.7195000000002,1548.7764,1071.6987,1316.0979,1548.7764,1630.6626,244.39920000000006,81.88620000000014,"M1316.0979,1548.7764 L1071.6987,1548.7764 L1071.6987,1630.6626 L1316.0979,1630.6626 z"
Zone01,Zone01_GFRC_H37,Horizontal,True,9-8,1nd FLOOR,#87CEEB,1439.55725,1589.7195000000002,1548.7764,1317.3577,1561.7568,1548.7764,1630.6626,244.3991000000001,81.88620000000014,"M1561.7568,1548.7764 L1317.3577,1548.7764 L1317.3577,1630.6626 L1561.7568,1630.6626 z"
Zone01,Zone01_GFRC_H38,Horizontal,True,8-7,1nd FLOOR,#87CEEB,1685.21615,1589.7195000000002,1548.7764,1563.0165,1807.4158,1548.7764,1630.6626,244.39930000000004,81.88620000000014,"M1807.4158,1548.7764 L1563.0165,1548.7764 L1563.0165,1630.6626 L1807.4158,1630.6626 z"
