element_id,svg_file_name,zone_name,element_type,axis_span,floor_level,panel_orientation,x_coord,y_coord,path_d_for_debug
8c683dddc68c69d7,Zone01.svg,Z01,GFRC,9-8,5th FLOOR,Vertical,1153.4591500000001,443.31125,"M1113.2719,321.7416 L1193.6464,321.7416 L1193.6464,564.8809 L1113.2719,564.8809 z"
cef7f98d42283f0e,Zone01.svg,Z01,GFRC,10-9,5th FLOOR,Vertical,1071.06885,443.31125,"M1112.012,564.8809 L1030.1257,564.8809 L1030.1257,321.7416 L1112.012,321.7416 z"
9f17904fbb63e762,Zone01.svg,Z01,GFRC,8-7,5th FLOOR,Vertical,1807.2897,443.31125,"M1848.2328,321.7416 L1766.3466,321.7416 L1766.3466,564.8809 L1848.2328,564.8809 z"
3ab5f3eded95b13f,Zone01.svg,Z01,GFRC,8-7,5th FLOOR,Vertical,1889.67995,443.31125,"M1929.8672,564.8809 L1849.4927,564.8809 L1849.4927,321.7416 L1929.8672,321.7416 z"
0271acdb119905de,Zone01.svg,Z01,GFRC,8-7,5th FLOOR,Vertical,1971.31435,443.31125,"M2011.5016,321.7416 L1931.1271,321.7416 L1931.1271,564.8809 L2011.5016,564.8809 z"
52f3215053ba80ce,Zone01.svg,Z01,GFRC,8-7,5th FLOOR,Vertical,2053.70455,443.31125,"M2012.7614,564.8809 L2094.6477,564.8809 L2094.6477,321.7416 L2012.7614,321.7416 z"
70ae0ef7b061d254,Zone01.svg,Z01,GFRC,10-9,4th FLOOR,Horizontal,732.18553,607.08385,"M639.59106,566.1407 L824.78,566.1407 L824.78,648.027 L639.59106,648.027 z"
c13aec8ecaa8c1ed,Zone01.svg,Z01,GFRC,10-9,4th FLOOR,Horizontal,948.2394300000001,607.08385,"M1070.439,566.1407 L826.03986,566.1407 L826.03986,648.027 L1070.439,648.027 z"
7c1ff031abaa57ef,Zone01.svg,Z01,GFRC,9-8,4th FLOOR,Horizontal,1193.8982999999998,607.08385,"M1316.0979,566.1407 L1071.6987,566.1407 L1071.6987,648.027 L1316.0979,648.027 z"
0eccb6ac1bd04771,Zone01.svg,Z01,GFRC,9-8,4th FLOOR,Horizontal,1439.55725,607.08385,"M1561.7568,566.1407 L1317.3577,566.1407 L1317.3577,648.027 L1561.7568,648.027 z"
e596fec65df3c312,Zone01.svg,Z01,GFRC,7-8,4th FLOOR,Horizontal,2392.5879,607.08385,"M2485.1824,566.1407 L2299.9934,566.1407 L2299.9934,648.027 L2485.1824,648.027 z"
beb44b704ec197bf,Zone01.svg,Z01,GFRC,7-8,4th FLOOR,Horizontal,2176.53395,607.08385,"M2298.7334,566.1407 L2054.3345,566.1407 L2054.3345,648.027 L2298.7334,648.027 z"
13efa43a1835aae8,Zone01.svg,Z01,GFRC,8-7,4th FLOOR,Horizontal,1930.87505,607.08385,"M2053.0747,566.1407 L1808.6754,566.1407 L1808.6754,648.027 L2053.0747,648.027 z"
e8e4a7780ae0046e,Zone01.svg,Z01,GFRC,8-7,4th FLOOR,Horizontal,1685.21615,607.08385,"M1807.4158,566.1407 L1563.0165,566.1407 L1563.0165,648.027 L1807.4158,648.027 z"
2bb4996f9b1bebdd,Zone01.svg,Z01,GFRC,8-7,4th FLOOR,Vertical,1889.67995,770.856475,"M1929.8672,892.42615 L1849.4927,892.42615 L1849.4927,649.2868 L1929.8672,649.2868 z"
cccd422cdb3a8486,Zone01.svg,Z01,GFRC,10-9,4th FLOOR,Vertical,1071.06885,770.856475,"M1112.012,892.42615 L1030.1257,892.42615 L1030.1257,649.2868 L1112.012,649.2868 z"
4658b72ac3d039e3,Zone01.svg,Z01,GFRC,9-8,4th FLOOR,Vertical,1235.0934499999998,770.856475,"M1194.9061,892.42615 L1275.2808,892.42615 L1275.2808,649.2868 L1194.9061,649.2868 z"
be1ca33137b8aa2e,Zone01.svg,Z01,GFRC,9-8,4th FLOOR,Vertical,1317.4836,770.856475,"M1276.5404,649.2868 L1358.4268,649.2868 L1358.4268,892.42615 L1276.5404,892.42615 z"
9ffd8ea93e4286aa,Zone01.svg,Z01,GFRC,9-8,4th FLOOR,Vertical,1153.4591500000001,770.856475,"M1113.2719,649.2868 L1193.6464,649.2868 L1193.6464,892.42615 L1113.2719,892.42615 z"
08f63d0e215ab015,Zone01.svg,Z01,GFRC,8-7,4th FLOOR,Vertical,1807.2897,770.856475,"M1848.2328,649.2868 L1766.3466,649.2868 L1766.3466,892.42615 L1848.2328,892.42615 z"
